Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value
"GT","Emissions totals","AFG","Afghanistan","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","1.317"
"GT","Emissions totals","ALB","Albania","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.1173"
"GT","Emissions totals","DZA","Algeria","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","1.1121"
"GT","Emissions totals","AGO","Angola","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.7246"
"GT","Emissions totals","ATG","Antigua and Barbuda","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0"
"GT","Emissions totals","ARG","Argentina","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","22.8205"
"GT","Emissions totals","ARM","Armenia","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.0634"
"GT","Emissions totals","AUS","Australia","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","5.8205"
"GT","Emissions totals","AUT","Austria","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.8897"
"GT","Emissions totals","AZE","Azerbaijan","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.6465"
"GT","Emissions totals","BHS","Bahamas","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.0001"
"GT","Emissions totals","BHR","Bahrain","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0"
"GT","Emissions totals","BGD","Bangladesh","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","11.1691"
"GT","Emissions totals","BRB","Barbados","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0"
"GT","Emissions totals","BLR","Belarus","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","1.4311"
"GT","Emissions totals","BEL","Belgium","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.5422"
"GT","Emissions totals","BLZ","Belize","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.0217"
"GT","Emissions totals","BEN","Benin","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.4977"
"GT","Emissions totals","BTN","Bhutan","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.0193"
"GT","Emissions totals","BOL","Bolivia (Plurinational State of)","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","1.2627"
"GT","Emissions totals","BIH","Bosnia and Herzegovina","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.2973"
"GT","Emissions totals","BWA","Botswana","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.0329"
"GT","Emissions totals","BRA","Brazil","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","41.44"
"GT","Emissions totals","BRN","Brunei Darussalam","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.0006"
"GT","Emissions totals","BGR","Bulgaria","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","1.4926"
"GT","Emissions totals","BFA","Burkina Faso","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","1.1094"
"GT","Emissions totals","BDI","Burundi","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.2897"
"GT","Emissions totals","CPV","Cabo Verde","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.002"
"GT","Emissions totals","KHM","Cambodia","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","2.5422"
"GT","Emissions totals","CMR","Cameroon","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.7973"
"GT","Emissions totals","CAN","Canada","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","13.1274"
"GT","Emissions totals","CAF","Central African Republic","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.0377"
"GT","Emissions totals","TCD","Chad","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.6325"
"GT","Emissions totals","CHL","Chile","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.4876"
"GT","Emissions totals","HKG","China, Hong Kong SAR","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0"
"GT","Emissions totals","CHN","China, mainland","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","103.4178"
"GT","Emissions totals","TWN","China, Taiwan Province of","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.3245"
"GT","Emissions totals","COL","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.9249"
"GT","Emissions totals","COM","Comoros","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.0119"
"GT","Emissions totals","COG","Congo","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.0071"
"GT","Emissions totals","CRI","Costa Rica","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.0346"
"GT","Emissions totals","CIV","Côte d'Ivoire","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.5583"
"GT","Emissions totals","HRV","Croatia","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.6023"
"GT","Emissions totals","CUB","Cuba","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.1114"
"GT","Emissions totals","CYP","Cyprus","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.0178"
"GT","Emissions totals","CZE","Czechia","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","1.4685"
"GT","Emissions totals","PRK","Democratic People's Republic of Korea","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.9615"
"GT","Emissions totals","COD","Democratic Republic of the Congo","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","1.1317"
"GT","Emissions totals","DNK","Denmark","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","1.7728"
"GT","Emissions totals","DJI","Djibouti","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.0072"
"GT","Emissions totals","DMA","Dominica","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0"
"GT","Emissions totals","DOM","Dominican Republic","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.1863"
"GT","Emissions totals","ECU","Ecuador","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.4668"
"GT","Emissions totals","EGY","Egypt","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","3.8207"
"GT","Emissions totals","SLV","El Salvador","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.1554"
"GT","Emissions totals","ERI","Eritrea","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.0891"
"GT","Emissions totals","EST","Estonia","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","0.3057"
